Precio,Comuna,Dormitorios,Banos,Area Construida,Area Total,Estacionamientos
286499500,Peñalolén,5,3.0,131.0,241.0,1.0
120000000,Maipu,2,2.0,75.0,149.0,1.0
120000000,Maipu,4,2.0,82.0,104.0,1.0
120000000,PuenteAlto,3,3.0,84.0,120.0,1.0
743831000,LoBarnechea,4,3.0,225.0,700.0,2.0
151257500,SanBernardo,4,2.0,85.0,155.0,2.0
117589360,PuenteAlto,3,2.0,102.0,86.0,1.0
355900000,LaFlorida,3,2.0,140.0,1000.0,4.0
176900000,Nunoa,4,2.0,100.0,124.0,1.0
960752050,LoBarnechea,6,6.0,350.0,1000.0,7.0
178270310,PuenteAlto,3,3.0,99.0,157.0,2.0
130000000,PuenteAlto,3,1.0,75.0,102.0,1.0
140000000,PuenteAlto,4,1.0,74.0,162.0,2.0
122000000,Maipu,3,1.0,91.0,138.0,1.0
247350500,Buin,3,3.0,112.0,240.0,2.0
432418500,LaReina,5,4.0,140.0,220.0,2.0
203000000,PuenteAlto,4,3.0,113.0,178.0,2.0
274043000,PuenteAlto,4,3.0,122.0,374.0,2.0
93000000,PuenteAlto,2,2.0,49.0,80.0,1.0
569440000,Vitacura,3,2.0,140.0,310.0,2.0
208201500,Quilicura,3,2.0,145.0,247.0,4.0
164000000,PuenteAlto,3,2.0,89.0,181.0,3.0
675000000,LaReina,4,3.0,150.0,210.0,2.0
480465000,Peñalolén,5,4.0,220.0,340.0,2.0
76000000,PuenteAlto,3,2.0,90.0,110.0,3.0
249130000,Pudahuel,4,3.0,137.0,225.0,1.0
360000000,LaCisterna,4,3.0,270.0,480.0,4.0
160000000,LaCisterna,3,1.0,150.0,331.0,4.0
266925000,Pudahuel,4,3.0,129.0,228.0,2.0
1299035000,LoBarnechea,6,5.0,344.0,702.0,5.0
366577000,Colina,3,3.0,135.0,135.0,2.0
444875000,Colina,6,4.0,170.0,610.0,3.0
87000000,PadreHurtado,3,1.0,65.0,90.0,2.0
462670000,Maipu,5,6.0,217.0,596.0,5.0
88000000,PuenteAlto,4,2.0,80.0,100.0,1.0
160155000,PadreHurtado,3,3.0,84.0,169.0,2.0
77000000,Maipu,3,2.0,55.0,93.0,4.0
165493500,Maipu,3,1.0,89.0,200.0,3.0
270484000,Maipu,3,3.0,155.0,233.0,4.0
125000000,Pudahuel,3,2.0,90.0,98.0,1.0
150189800,PuenteAlto,4,3.0,90.0,200.0,2.0
473347000,LasCondes,4,2.0,110.0,258.0,2.0
199837850,PuenteAlto,5,3.0,178.0,264.0,1.0
155000000,Nunoa,3,1.0,40.0,198.0,2.0
126807170,PuenteAlto,4,3.0,80.0,105.0,3.0
266925000,Huechuraba,3,3.0,107.0,180.0,2.0
220000000,Conchali,5,2.0,182.0,250.0,4.0
201083500,PuenteAlto,3,3.0,99.0,300.0,3.0
496480500,LaFlorida,7,4.0,206.0,1000.0,6.0
286499500,Santiago,4,2.0,119.0,182.0,2.0
78120050,LoEspejo,3,1.0,74.0,160.0,4.0
130000000,Maipu,4,2.0,84.0,90.0,2.0
110329000,PuenteAlto,3,1.0,56.0,90.0,1.0
115000000,Maipu,3,2.0,62.0,100.0,1.0
150000000,LaFlorida,3,2.0,65.0,105.0,1.0
551645000,LasCondes,4,3.0,200.0,500.0,3.0
745000000,LasCondes,6,5.0,180.0,542.0,2.0
1031398200,LoBarnechea,7,5.0,300.0,5600.0,10.0
391490000,LasCondes,3,2.0,122.0,226.0,2.0
319954100,LaReina,4,2.0,119.0,165.0,1.0
632790200,Providencia,4,3.0,281.0,500.0,4.0
444875000,Vitacura,5,4.0,130.0,150.0,2.0
396828500,LasCondes,3,3.0,113.0,253.0,2.0
65841500,Quilicura,2,1.0,80.0,56.0,1.0
1281240000,Vitacura,5,5.0,330.0,560.0,4.0
398608000,LasCondes,3,2.0,75.0,229.0,3.0
202863000,QuintaNormal,6,2.0,299.0,390.0,6.0
1263445000,LasCondes,4,4.0,168.0,233.0,3.0
82000000,PuenteAlto,4,2.0,48.0,123.0,2.0
109000000,CaleradeTango,4,2.0,90.0,140.0,1.0
160000000,Melipilla,3,3.0,140.0,160.0,2.0
125000000,Recoleta,4,2.0,100.0,245.0,6.0
118000000,Melipilla,6,3.0,120.0,140.0,1.0
65000000,Lampa,2,1.0,55.0,70.0,1.0
427044410,Talagante,3,3.0,181.0,5141.0,3.0
85416000,SanBernardo,5,2.0,98.0,107.0,1.0
156596000,LaFlorida,4,2.0,123.0,181.0,1.0
1530370000,LoBarnechea,4,3.0,480.0,1499.0,4.0
583676000,Peñalolén,5,4.0,260.0,550.0,1.0
409285000,LaFlorida,3,3.0,325.0,325.0,3.0
222437500,Maipu,5,2.0,120.0,242.0,2.0
427080000,Peñalolén,6,4.0,179.0,400.0,2.0
469788000,Peñalolén,5,4.0,160.0,505.0,3.0
288279000,Peñalolén,3,3.0,122.0,200.0,3.0
270484000,Peñalolén,4,3.0,110.0,220.0,2.0
306074000,LaFlorida,4,3.0,115.0,300.0,3.0
569440000,Peñalolén,4,3.0,237.0,2002.0,7.0
1138880000,LoBarnechea,5,5.0,350.0,750.0,2.0
302515000,Nunoa,3,2.0,115.0,172.0,2.0
220622410,PadreHurtado,4,3.0,135.0,260.0,3.0
992961000,LaReina,5,5.0,311.0,1543.0,6.0
1032110000,LaReina,5,4.0,324.0,1105.0,5.0
1089054000,LasCondes,6,5.0,402.0,1150.0,4.0
587235000,LasCondes,5,4.0,190.0,395.0,3.0
1245650000,Colina,4,4.0,313.0,4411.0,8.0
370136000,LasCondes,3,2.0,110.0,225.0,3.0
